Number,A parts,B parts,C parts,M parts,New SMILES
43,A3,B2,C1,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(O*)C2(O)C1O
44,A4,B2,C1,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2CC(C)C(O*)C2(O)C1O
45,A5,B2,C1,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2=CC(C)C(=O)C2(O)C1O
46,A1,B2,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2C=C(C)C(=O)C2(O)C1O
47,A2,B2,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2CC(C)C(=O)C2(O)C1O
48,A3,B2,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2C=C(C)C(O*)C2(O)C1O
49,A4,B2,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2CC(C)C(O*)C2(O)C1O
50,A5,B2,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2=CC(C)C(=O)C2(O)C1O
51,A1,B2,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2C=C(C)C(=O)C2(O)C1O
52,A2,B2,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2CC(C)C(=O)C2(O)C1O
53,A3,B2,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2C=C(C)C(O*)C2(O)C1O
54,A4,B2,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2CC(C)C(O*)C2(O)C1O
55,A5,B2,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2=CC(C)C(=O)C2(O)C1O
56,A1,B2,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2C=C(C)C(=O)C2(O)C1O
57,A2,B2,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2CC(C)C(=O)C2(O)C1O
58,A3,B2,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2C=C(C)C(O*)C2(O)C1O
59,A4,B2,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2CC(C)C(O*)C2(O)C1O
60,A5,B2,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2=CC(C)C(=O)C2(O)C1O
61,A1,B5,C1,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(=O)C2(O)C1
62,A2,B5,C1,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2CC(C)C(=O)C2(O)C1
63,A3,B5,C1,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(O*)C2(O)C1
64,A4,B5,C1,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2CC(C)C(O*)C2(O)C1
65,A5,B5,C1,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2=CC(C)C(=O)C2(O)C1
66,A1,B5,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2C=C(C)C(=O)C2(O)C1
67,A2,B5,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2CC(C)C(=O)C2(O)C1
68,A3,B5,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2C=C(C)C(O*)C2(O)C1
69,A4,B5,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2CC(C)C(O*)C2(O)C1
70,A5,B5,C2,,*OCC1(O)C(O)C2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2=CC(C)C(=O)C2(O)C1
