Number,A parts,B parts,C parts,M parts,New SMILES
165,A6,B1,C2,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
166,A7,B1,C2,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
167,A8,B1,C2,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
168,A9,B1,C2,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
169,A6,B1,C2,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
170,A7,B1,C2,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
171,A8,B1,C2,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
172,A9,B1,C2,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
173,A6,B1,C2,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
174,A7,B1,C2,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
175,A8,B1,C2,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
176,A9,B1,C2,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
177,A6,B1,C2,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
178,A7,B1,C2,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
179,A8,B1,C2,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
180,A9,B1,C2,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
181,A6,B1,C2,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
182,A7,B1,C2,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
183,A8,B1,C2,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
184,A9,B1,C2,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
185,A6,B1,C2,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
186,A7,B1,C2,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
187,A8,B1,C2,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
188,A9,B1,C2,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
189,A6,B1,C2,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
190,A7,B1,C2,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
191,A8,B1,C2,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
192,A9,B1,C2,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
193,A6,B1,C2,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
194,A7,B1,C2,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
195,A8,B1,C2,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
196,A9,B1,C2,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
197,A6,B1,C5,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
198,A7,B1,C5,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
199,A8,B1,C5,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
200,A9,B1,C5,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
201,A6,B1,C5,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
202,A7,B1,C5,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
203,A8,B1,C5,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
204,A9,B1,C5,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
205,A6,B1,C5,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
206,A7,B1,C5,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
207,A8,B1,C5,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
208,A9,B1,C5,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
209,A6,B1,C5,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
210,A7,B1,C5,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
211,A8,B1,C5,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
212,A9,B1,C5,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
213,A6,B1,C5,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
214,A7,B1,C5,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
215,A8,B1,C5,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
216,A9,B1,C5,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
217,A6,B1,C5,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
218,A7,B1,C5,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
219,A8,B1,C5,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
220,A9,B1,C5,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
221,A6,B1,C5,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
222,A7,B1,C5,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
223,A8,B1,C5,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
224,A9,B1,C5,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
225,A6,B1,C5,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
226,A7,B1,C5,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
227,A8,B1,C5,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
228,A9,B1,C5,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
229,A6,B1,C5,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
230,A7,B1,C5,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
231,A8,B1,C5,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
232,A9,B1,C5,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)CC3(C(=C)C)O5
233,A6,B1,C6,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
234,A7,B1,C6,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
235,A8,B1,C6,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
236,A9,B1,C6,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
237,A6,B1,C6,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
238,A7,B1,C6,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
239,A8,B1,C6,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
240,A9,B1,C6,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
241,A6,B1,C6,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
242,A7,B1,C6,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
243,A8,B1,C6,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
244,A9,B1,C6,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
245,A6,B1,C6,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
246,A7,B1,C6,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
247,A8,B1,C6,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
248,A9,B1,C6,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
249,A6,B1,C6,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
250,A7,B1,C6,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
251,A8,B1,C6,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
252,A9,B1,C6,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
253,A6,B1,C6,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
254,A7,B1,C6,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
255,A8,B1,C6,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
256,A9,B1,C6,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
257,A6,B1,C6,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
258,A7,B1,C6,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
259,A8,B1,C6,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
260,A9,B1,C6,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
261,A6,B1,C6,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
262,A7,B1,C6,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
263,A8,B1,C6,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
264,A9,B1,C6,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
265,A6,B1,C6,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
266,A7,B1,C6,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
267,A8,B1,C6,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
268,A9,B1,C6,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(CO*)C(O*)C3(C(=C)C)O5
269,A6,B2,C1,M1,*OCC1(O)C(O)C2C3OC45CCCCCCCCC6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
270,A7,B2,C1,M1,*OCC1(O)C(O)C2C3OC45CCCCCCCCC6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
271,A8,B2,C1,M1,*OCC1(O)C(O)C2C3OC45CCCCCCCCC6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
272,A9,B2,C1,M1,*OCC1(O)C(O)C2C3OC45CCCCCCCCC6C(O)(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
273,A6,B2,C1,M2,*OCC1(O)C(O)C2C3OC45CCCCCCCC(C)C6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
274,A7,B2,C1,M2,*OCC1(O)C(O)C2C3OC45CCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
275,A8,B2,C1,M2,*OCC1(O)C(O)C2C3OC45CCCCCCCC(C)C6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
276,A9,B2,C1,M2,*OCC1(O)C(O)C2C3OC45CCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
277,A6,B2,C1,M3,*OCC1(O)C(O)C2C3OC45C(O)CCCCCCC(C)C6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
278,A7,B2,C1,M3,*OCC1(O)C(O)C2C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
279,A8,B2,C1,M3,*OCC1(O)C(O)C2C3OC45C(O)CCCCCCC(C)C6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
280,A9,B2,C1,M3,*OCC1(O)C(O)C2C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
281,A6,B2,C1,M4,*OCC1(O)C(O)C2C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
282,A7,B2,C1,M4,*OCC1(O)C(O)C2C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
283,A8,B2,C1,M4,*OCC1(O)C(O)C2C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
284,A9,B2,C1,M4,*OCC1(O)C(O)C2C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
285,A6,B2,C1,M5,*OCC1(O)C(O)C2C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
286,A7,B2,C1,M5,*OCC1(O)C(O)C2C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
287,A8,B2,C1,M5,*OCC1(O)C(O)C2C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
288,A9,B2,C1,M5,*OCC1(O)C(O)C2C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
289,A6,B2,C1,M6,*OCC1(O)C(O)C2C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
290,A7,B2,C1,M6,*OCC1(O)C(O)C2C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
291,A8,B2,C1,M6,*OCC1(O)C(O)C2C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
292,A9,B2,C1,M6,*OCC1(O)C(O)C2C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
293,A6,B2,C1,M7,*OCC1(O)C(O)C2C3OC45CCCC=CCCCCC(CCC)C6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
294,A7,B2,C1,M7,*OCC1(O)C(O)C2C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
295,A8,B2,C1,M7,*OCC1(O)C(O)C2C3OC45CCCC=CCCCCC(CCC)C6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
296,A9,B2,C1,M7,*OCC1(O)C(O)C2C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
297,A6,B2,C1,M8,*OCC1(O)C(O)C2C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
298,A7,B2,C1,M8,*OCC1(O)C(O)C2C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
299,A8,B2,C1,M8,*OCC1(O)C(O)C2C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
300,A9,B2,C1,M8,*OCC1(O)C(O)C2C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
301,A6,B2,C1,M9,*OCC1(O)C(O)C2C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
302,A7,B2,C1,M9,*OCC1(O)C(O)C2C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
303,A8,B2,C1,M9,*OCC1(O)C(O)C2C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
304,A9,B2,C1,M9,*OCC1(O)C(O)C2C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(O*)C(O)(C1O)C6C2(O4)C(C)CC3(C(=C)C)O5
305,A6,B2,C2,M1,*OCC1(O)C(O)C2C3OC45CCCCCCCCC6C(C)C(=O)C(O)(C1O)C6C2(O4)C(C)C(O*)C3(C(=C)C)O5
306,A7,B2,C2,M1,*OCC1(O)C(O)C2C3OC45CCCCCCCCC6C(O)(C)C(=O)C(O)(C1O)C6C2(O4)C(C)C(O*)C3(C(=C)C)O5
307,A8,B2,C2,M1,*OCC1(O)C(O)C2C3OC45CCCCCCCCC6C(C)C(O*)C(O)(C1O)C6C2(O4)C(C)C(O*)C3(C(=C)C)O5
